itemname,tablename,action,condition,status,description,tags,notes,RunTime
Lock CPU and Dedicated Lanes - Renters - Include,CustomerFulfillmentPolicies,"Status='Include'","(CPUDedicated LIKE 'C*' OR CPUDedicated LIKE 'D*')",,,,,2023-04-14 13:17:22
Lock CPU and Dedicated Lanes - Distributors - Exclude,ReplenishmentPolicies,"Status='Exclude'","(CPUDEDICATED LIKE 'C*' OR CPUDEDICATED LIKE 'D*' OR CPUDEDICATED LIKE 'N*')",,,,,2023-04-14 13:17:22
Lock CPU and Dedicated Lanes - Distributors - Include,ReplenishmentPolicies,"Status='Include'","(CPUDEDICATED LIKE 'C*' OR CPUDEDICATED LIKE 'D*')",,,,,2023-04-14 13:17:22
Infeasibility Correction - Keep Base for First 15_GroupBehaviour,InventoryConstraints,"PeriodNameGroupBehavior='Enumerate'","Notes = 'Depot_Capacity'",,,,,2023-04-14 13:17:22
Minimun Inventory Levels,InventoryConstraints,"Status='Include'","Notes = 'MinInventory'",,,,,2023-04-14 13:17:22
Monthly Adj - Add Storage at MFG,InventoryConstraints,ConstraintValue=12000,"(Notes = 'Depot_Capacity') AND (DepotType = 'Manufacturing')",,,,,2023-04-14 13:17:22
Heat Treatment Requirement - (2) Include Lanes,CustomerFulfillmentPolicies,"Status='Include'","Heat_Treatment_Rqmt LIKE 'Y*'",,,,,2023-04-14 13:17:22
Heat Treatment Requirement - (1) Exclude Base,CustomerFulfillmentPolicies,"Status='Exclude'","Heat_Treatment_Rqmt LIKE 'N*'",,,,,2023-04-14 13:17:22
Monthly Adj Cottondale MFG - Period 01,ProductionConstraints,ConstraintValue=ConstraintValue+3195,"(PeriodName LIKE 'Period 01*') AND (FacilityName LIKE 'D_USA35401_46146*') AND (Notes LIKE 'SOIP_MFG*')",,,,,2023-04-14 13:17:22
"Tripak'sCPUsOpenup",CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA98057_50932*' OR CustomerName LIKE 'I_USA98586_45830*' OR CustomerName LIKE 'I_USA98032_61270*' OR CustomerName LIKE 'I_USA98626_63217*' OR CustomerName LIKE 'I_USA98674_45815*' OR CustomerName LIKE 'I_USA98108_57747*' OR CustomerName LIKE 'I_USA98050_43944*' OR CustomerName LIKE 'I_USA98595_46374*' OR CustomerName LIKE 'I_USA97230_69502*') AND (ORegion LIKE 'PacificCoastal*') AND (GreenfieldCandidate LIKE 'Y*')",,,,,2023-04-14 13:17:22
